learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
3600.0,0.27281,5.7414705885781174E-9,3600.0,88.4,76.79025190580043,75.98343685300208,76.70682730923694,3600.0,87360.0
3700.0,0.277631,5.8504256440533526E-9,3700.0,87.8,75.59658352169303,74.94866529774127,75.88932806324111,3700.0,87360.0
3800.0,0.282279,5.9554708831840085E-9,3800.0,86.8,73.59154929577464,73.22515212981745,74.26900584795322,3800.0,87360.0
3900.0,0.286593,6.052967690759235E-9,3900.0,86.1,72.19532881524096,71.91919191919192,72.47524752475248,3900.0,87360.0
4000.0,0.291573,6.165516161256366E-9,4000.0,86.1,72.2026685438198,71.2215320910973,72.2,4000.0,87360.0
4100.0,0.296044,6.266561183664533E-9,4100.0,85.3,70.5957657902738,69.375,70.89108910891089,4100.0,87360.0
4200.0,0.3006,6.369527214103274E-9,4200.0,84.6,69.20591246480676,68.69918699186991,69.74459724950883,4200.0,87360.0
4300.0,0.305164,6.472674045297834E-9,4300.0,84.1,68.20178070028078,67.81376518218623,68.76227897838899,4300.0,87360.0
4400.0,0.309841,6.578374687168332E-9,4400.0,83.89999999999999,67.79123921706703,67.67068273092369,68.18181818181817,4400.0,87360.0
4500.0,0.314499,6.683645927243762E-9,4500.0,85.0,70.00323965011779,68.94409937888199,70.11952191235059,4500.0,87360.0
4600.0,0.31874,6.779492927922142E-9,4600.0,85.6,71.18467024457011,70.12448132780082,71.25748502994011,4600.0,87360.0
4700.0,0.323556,6.888334982924991E-9,4700.0,85.3,70.60211664760138,69.81519507186857,70.4225352112676,4700.0,87360.0
4800.0,0.328425,6.998374842935138E-9,4800.0,85.39999999999999,70.80700631848356,69.83471074380165,70.20408163265306,4800.0,87360.0
4900.0,0.332315,7.086289210451973E-9,4900.0,85.0,70.00395947734899,68.81496881496881,69.32515337423312,4900.0,87360.0
5000.0,0.335785,7.1647115382883276E-9,5000.0,85.39999999999999,70.79813108038914,69.89690721649484,70.32520325203252,5000.0,87360.0
5100.0,0.339033,7.238116645150714E-9,5100.0,85.3,70.59788304757943,69.93865030674846,69.93865030674846,5100.0,87360.0
5200.0,0.342808,7.323760137789779E-9,5200.0,85.8,71.58636145349767,70.53941908713692,70.90163934426229,5200.0,87696.0
5300.0,0.346757,7.413351171546512E-9,5300.0,85.9,71.79007010467686,70.92783505154638,71.22448979591837,5300.0,87696.0
5400.0,0.349982,7.486516804330879E-9,5400.0,86.2,72.39999999999999,71.48760330578511,72.12121212121212,5400.0,87696.0
5500.0,0.353137,7.558094345861012E-9,5500.0,86.1,72.19977759822078,71.63265306122449,71.1018711018711,5500.0,87696.0
5600.0,0.357357,7.653833561473423E-9,5600.0,86.6,73.19839190351422,73.2,72.42798353909464,5600.0,87696.0
5700.0,0.360855,7.733192750149303E-9,5700.0,87.5,75.0,74.2798353909465,74.12008281573499,5700.0,87696.0
5800.0,0.364382,7.813209862344794E-9,5800.0,87.7,75.38483705962872,74.79508196721312,74.42827442827443,5800.0,87696.0
5900.0,0.36837,7.903685689800315E-9,5900.0,88.4,76.76645075489006,76.75350701402806,75.88357588357589,5900.0,87696.0
6000.0,0.38177,8.22716009699636E-9,6000.0,86.3,72.5991231719415,72.87128712871286,71.92622950819671,6000.0,93312.0
6100.0,0.385722,8.322560907238059E-9,6100.0,86.7,73.38892979479463,72.85714285714285,72.29166666666667,6100.0,93312.0
6200.0,0.389043,8.402729452484184E-9,6200.0,87.1,74.2,73.51129363449692,73.45679012345678,6200.0,93312.0
6300.0,0.39208,8.476042271488242E-9,6300.0,86.9,73.8002095983232,73.21063394683026,73.15573770491804,6300.0,93312.0
6400.0,0.395341,8.554762423866324E-9,6400.0,87.0,73.99947998959979,73.25102880658436,72.63157894736841,6400.0,93312.0
6500.0,0.398594,8.633289457195334E-9,6500.0,87.0,73.99875194009311,73.19587628865979,72.86012526096033,6500.0,93312.0
6600.0,0.402012,8.71579957091146E-9,6600.0,86.2,72.40176628695764,71.36929460580913,70.70063694267516,6600.0,93312.0
6700.0,0.406123,8.81503862225347E-9,6700.0,85.9,71.79142459307629,71.04722792607802,69.87179487179486,6700.0,93312.0
6800.0,0.409577,8.89841777169042E-9,6800.0,85.8,71.59409157104677,71.19675456389452,70.60041407867494,6800.0,93312.0
6900.0,0.412761,8.975279153221182E-9,6900.0,85.39999999999999,70.80268615287393,70.02053388090349,70.26476578411405,6900.0,93312.0
7000.0,0.415999,9.053444088333181E-9,7000.0,86.8,73.61509216728031,73.00613496932516,72.44258872651356,7000.0,93312.0
7100.0,0.419171,9.130015791290334E-9,7100.0,86.7,73.4223252467927,73.02231237322515,72.57731958762886,7100.0,93312.0
7200.0,0.422423,9.20851868473821E-9,7200.0,87.2,74.4213837232074,74.19354838709677,73.93075356415478,7200.0,93312.0
7300.0,0.425639,9.286152542465261E-9,7300.0,88.0,76.01381604195983,75.60975609756098,75.80645161290323,7300.0,93312.0
7400.0,0.428907,9.365041674011282E-9,7400.0,88.4,76.80250532942442,76.65995975855131,77.38791423001949,7400.0,93312.0
7500.0,0.437904,9.595299594932131E-9,7500.0,88.5,77.0082770202727,77.13717693836978,77.75628626692456,7500.0,98928.0
7600.0,0.441325,9.682852373354963E-9,7600.0,88.3,76.61085256441011,76.87747035573122,77.5,7600.0,98928.0
7700.0,0.444675,9.768588066928915E-9,7700.0,88.0,76.026179412082,76.47058823529413,77.01149425287358,7700.0,98928.0
7800.0,0.447818,9.849026062422326E-9,7800.0,88.5,77.00496692714374,77.45098039215686,77.75628626692456,7800.0,98928.0
7900.0,0.451268,9.937321030431321E-9,7900.0,88.6,77.18402882017412,77.42574257425743,77.69080234833659,7900.0,98928.0
8000.0,0.455039,1.0033831269376806E-8,8000.0,89.2,78.36469117599924,78.52882703777337,78.82352941176471,8000.0,98928.0
8100.0,0.458203,1.0114806712501577E-8,8100.0,89.7,79.35375240538808,79.68441814595661,79.4,8100.0,98928.0
8200.0,0.461702,1.0204355724983744E-8,8200.0,89.0,77.97039220712638,78.17460317460318,77.55102040816327,8200.0,98928.0
8300.0,0.465169,1.0293085769646696E-8,8300.0,88.5,76.98011081574481,77.04590818363273,76.19047619047619,8300.0,98928.0
8400.0,0.468532,1.0379154168897203E-8,8400.0,87.9,75.7621890148632,75.50607287449392,74.47257383966245,8400.0,98928.0
8500.0,0.472549,1.0481960222952894E-8,8500.0,87.6,75.16503236557071,74.6938775510204,73.94957983193278,8500.0,98928.0
8600.0,0.475972,1.0569564186864426E-8,8600.0,88.1,76.15192227530702,75.51440329218107,75.15657620041753,8600.0,98928.0
8700.0,0.479336,1.0655658178859283E-8,8700.0,88.0,75.93994610547927,75.30864197530865,74.89539748953975,8700.0,98928.0
8800.0,0.482657,1.0740651682847073E-8,8800.0,87.5,74.93985565356857,74.12008281573499,73.57293868921776,8800.0,98928.0
8900.0,0.486729,1.0844865337842038E-8,8900.0,87.7,75.36452491587886,75.05070993914808,74.15966386554622,8900.0,98928.0
9000.0,0.49009,1.0930882551603844E-8,9000.0,87.7,75.35208445217503,75.0,73.99577167019027,9000.0,98928.0
9100.0,0.493229,1.1011218176119853E-8,9100.0,87.8,75.59502138436241,75.10204081632654,74.74120082815735,9100.0,98928.0
9200.0,0.496472,1.1094215446048308E-8,9200.0,87.8,75.592677803341,75.30364372469636,74.84536082474227,9200.0,98928.0
9300.0,0.499981,1.1184020385973979E-8,9300.0,87.8,75.5897476940315,74.94866529774127,74.84536082474227,9300.0,98928.0
9400.0,0.50396,1.1285853915744353E-8,9400.0,88.3,76.59831507868566,76.41129032258065,76.31578947368422,9400.0,98928.0
9500.0,0.507021,1.136419330620103E-8,9500.0,89.1,78.2,78.1124497991968,77.89046653144015,9500.0,98928.0
9600.0,0.510079,1.1442455918424655E-8,9600.0,89.2,78.40025919688965,78.26961770623743,77.82340862422998,9600.0,98928.0
9700.0,0.513105,1.1519899562829065E-8,9700.0,89.7,79.39901115253532,79.4,78.71900826446281,9700.0,98928.0
9800.0,0.51653,1.1607554712229299E-8,9800.0,89.1,78.1937197912999,78.06841046277665,77.29166666666667,9800.0,98928.0
9900.0,0.519437,1.1681952820056008E-8,9900.0,89.1,78.16436424244367,77.70961145194273,76.85774946921444,9900.0,98928.0
10000.0,0.522602,1.176295385592513E-8,10000.0,88.7,77.3853457040162,76.93877551020408,76.40918580375782,10000.0,98928.0
10100.0,0.525733,1.1843084738486336E-8,10100.0,88.1,76.10806382961637,75.61475409836066,74.24242424242425,10100.0,98928.0
10200.0,0.528852,1.1922908508115338E-8,10200.0,88.1,76.1456119953494,75.91093117408907,74.6268656716418,10200.0,98928.0
10300.0,0.53228,1.2010938409301963E-8,10300.0,88.2,76.33639222229353,76.63366336633663,74.56896551724138,10300.0,99264.0
10400.0,0.535601,1.209622058603498E-8,10400.0,87.9,75.74197480373053,75.94433399602386,73.9784946236559,10400.0,99264.0
