learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
28000.0,0.862117,3.440955322649743E-9,28000.0,87.2,74.41197519560845,74.0365111561866,74.95107632093934,16096.0,39160.0,13.0,7.0,7.0,3.0,4896.0,0.0,1.0294117647058822
29000.0,0.880766,3.6298831200434093E-9,29000.0,86.5,72.95889752423685,72.04968944099379,71.63865546218487,17096.0,39160.0,13.0,7.0,7.0,3.0,4896.0,0.0,1.0294117647058822
30000.0,0.902045,3.87623807001445E-9,30000.0,86.4,72.78258085174511,73.48927875243665,71.66666666666667,18096.0,44752.0,15.0,8.0,8.0,3.0,4896.0,0.0,1.0294117647058822
31000.0,0.929657,3.916297383192512E-9,31000.0,76.8,53.61725438137014,54.330708661417326,53.31991951710262,120.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
32000.0,0.946546,3.940799836483266E-9,32000.0,89.2,78.40483731644112,78.61386138613862,77.77777777777779,1120.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
33000.0,0.965105,3.9677251151038535E-9,33000.0,87.6,75.19732131070155,73.83966244725738,74.43298969072166,456.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
34000.0,0.982333,3.992719387428628E-9,34000.0,89.4,78.80678182981447,78.8,79.05138339920948,1456.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
35000.0,0.9993,4.017335002621015E-9,35000.0,89.4,78.78854581473996,78.88446215139443,78.05383022774328,2456.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
36000.0,1.018834,4.0739337520466915E-9,36000.0,88.0,76.0,77.09923664122138,75.35934291581108,3456.0,11200.0,3.0,2.0,2.0,1.0,5064.0,0.0,1.028436018957346
37000.0,1.035544,4.1223501082923686E-9,37000.0,86.4,72.8,72.8,72.1311475409836,4456.0,11200.0,3.0,2.0,2.0,1.0,5064.0,0.0,1.028436018957346
38000.0,1.052542,4.171600929564901E-9,38000.0,87.9,75.80406491709392,75.20491803278688,74.08993576017131,5456.0,11200.0,3.0,2.0,2.0,1.0,5064.0,0.0,1.028436018957346
39000.0,1.071653,4.2546210707061835E-9,39000.0,85.9,71.77945544356291,71.51515151515152,69.80728051391863,6456.0,16792.0,5.0,3.0,3.0,2.0,5064.0,0.0,1.028436018957346
40000.0,1.093756,4.382614168441959E-9,40000.0,86.8,73.5973597359736,72.15189873417721,73.33333333333333,7456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
41000.0,1.11329,4.495730811936989E-9,41000.0,86.7,73.3904205513985,73.4,71.94092827004219,8456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
42000.0,1.130645,4.596229396346544E-9,42000.0,87.9,75.78934731281764,76.08695652173914,75.20491803278688,9456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
43000.0,1.148719,4.700891534901329E-9,43000.0,87.6,75.21070897372336,76.1996161228407,74.48559670781893,10456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
44000.0,1.165524,4.798205203066271E-9,44000.0,88.7,77.39511734534659,77.75590551181104,76.26050420168067,11456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
45000.0,1.184033,4.905386320832704E-9,45000.0,90.3,80.60403436085295,79.87551867219918,80.6772908366534,12456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
46000.0,1.201179,5.004674637069306E-9,46000.0,91.8,83.50976543646837,83.921568627451,82.25108225108225,13456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
47000.0,1.2179,5.101501881662344E-9,47000.0,89.60000000000001,79.17942927612481,79.32405566600397,78.64476386036962,14456.0,22384.0,7.0,4.0,4.0,2.0,5064.0,0.0,1.028436018957346
48000.0,1.237124,5.240633874717687E-9,48000.0,89.8,79.55706984667803,80.27079303675049,78.52631578947368,15456.0,27976.0,9.0,5.0,5.0,3.0,5064.0,0.0,1.028436018957346
49000.0,1.259426,5.434305905881856E-9,49000.0,87.8,75.54453500539223,76.31067961165049,74.53027139874739,16456.0,33568.0,11.0,6.0,6.0,3.0,5064.0,0.0,1.028436018957346
50000.0,1.283132,5.674464754346345E-9,50000.0,87.2,74.30121386610129,73.8241308793456,72.70788912579957,17456.0,39160.0,13.0,7.0,7.0,3.0,5064.0,0.0,1.028436018957346
51000.0,1.315293,5.721123727659385E-9,51000.0,78.9,57.82867649998003,58.13492063492064,58.13492063492064,472.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
52000.0,1.336913,5.75248988552226E-9,52000.0,89.1,78.18516591282072,78.1124497991968,77.4327122153209,352.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
53000.0,1.355584,5.779577653027244E-9,53000.0,86.9,73.8121511618609,72.76507276507276,73.74749498997996,1352.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
54000.0,1.372797,5.804550163447858E-9,54000.0,90.9,81.77915535372466,82.36434108527132,81.31416837782342,2352.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
55000.0,1.389133,5.828250327871906E-9,55000.0,90.9,81.77857160020184,82.26120857699806,80.8421052631579,3352.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
